px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
105.498	14.4657	1.59692	-0.811174	-0.335541	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	2.17497
105.457	14.4843	1.62709	-0.640005	-0.107239	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.774227
106.813	14.0274	1.52424	-0.222057	0.224563	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.7412
106.763	14.014	1.52302	-0.235499	0.251151	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.146
108.068	13.6629	1.65941	-0.0884856	0.185438	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.10621
108.077	13.6639	1.6582	-0.0891006	0.179013	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0426137
109.518	13.5704	1.79124	0.0719146	0.167627	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.122752
109.474	13.5646	1.65608	0.0546005	0.14658	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.439797
111.048	12.6033	1.79415	-0.877614	-0.512326	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.32054
111.13	12.657	1.99387	-0.546881	-0.0300418	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.53334
112.896	12.4614	1.79043	0.0534763	0.373478	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.21597
112.894	12.4556	1.82308	0.0480224	0.372971	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.0823183
114.764	12.5461	2.12114	0.171671	0.210051	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.809128
114.779	12.548	2.02516	0.167731	0.216183	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.273169
116.669	12.1136	2.11514	-0.374874	-0.253436	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.733962
116.709	12.1333	2.28899	-0.258099	-0.0739063	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.636371
118.905	11.9982	2.57894	0.0987082	0.207937	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.961546
118.874	12.0086	2.42233	0.126803	0.231676	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.47016
120.7	12.2947	2.38363	0.267563	0.173783	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0297698
120.74	12.2994	2.35911	0.272261	0.188079	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.465501
123.484	12.8117	3.01308	-0.011716	-0.121715	123.568	12.8297	122.95	12.5114	2.29835	0.246599	3.99888
123.406	12.7909	2.69947	-0.0792624	-0.228099	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.75753
124.935	12.7655	2.33959	-0.171188	-0.145145	124.894	12.7743	125.242	12.8125	2.37624	0.369827	1.30262
125.035	12.7826	2.61444	-0.0811516	0.00406561	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.39331
127.774	13.3166	3.15771	0.504867	0.379925	127.853	13.3273	127.609	13.2365	2.44434	0.495787	2.90226
127.718	13.3184	3.04565	0.556231	0.476971	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.80754
130	13.7611	2.22126	0.353065	0.0481422	129.947	13.6963	130.042	13.7853	2.50232	0.621879	3.43879
130.085	13.7805	2.41552	0.282896	-0.0834749	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.43126
132.078	14.5032	2.5416	0.283185	-0.0302326	132.092	14.507	132.53	14.458	2.55028	0.74543	0.104812
132.152	14.5085	2.69633	0.237702	-0.0986043	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.23372
135.014	15.0415	3.16893	0.0391231	-0.162807	135.074	15.0475	135.066	15.2513	2.58865	0.863795	2.11889
135.014	15.0352	2.92934	0.00144341	-0.222832	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.601443
137.553	16.2032	2.94359	0.60757	0.307998	137.561	16.2147	137.639	16.1592	2.61821	0.974442	0.817998
137.583	16.1918	3.12934	0.47694	0.0835843	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.52076
140.308	17.0073	3.19744	0.188576	-0.162733	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.416011
140.303	17.0007	3.13417	0.194376	-0.140458	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.194361
142.882	17.9866	3.21283	0.377657	0.0691869	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.17417
142.835	17.983	3.1457	0.400762	0.106685	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.514754
145.373	19.1555	3.30033	0.423517	0.0509906	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.193879
145.445	19.1655	3.29465	0.446879	0.124825	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.85852
148.214	20.4619	3.58117	0.40086	0.0105901	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.628352
148.181	20.4598	3.38063	0.543652	0.298223	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.90344
150.67	22.1064	3.49015	0.652347	0.173567	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.181008
150.663	22.1046	3.50303	0.622246	0.110225	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.0602222
153.421	23.4995	3.34989	0.424228	-0.0857091	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.266068
153.394	23.4904	3.26055	0.504977	0.0723371	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.281126
156.028	24.8022	3.38864	0.422794	-0.0291412	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.200415
156.008	24.802	3.18978	0.540373	0.204573	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.681166
158.862	26.0122	3.48728	0.313043	-0.0792299	158.905	26.0308	158.827	26.1372	2.66127	1.36157	1.14414
158.879	26.0094	3.36739	0.343872	0.00703248	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.589194
161.407	27.4214	3.44232	0.539513	0.128377	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.0742531
161.432	27.4339	3.31767	0.633729	0.308437	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.605261
163.648	28.7948	2.93	0.635535	0.115169	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.636087
163.761	28.811	3.07249	0.531396	-0.0459655	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.86926
166.741	30.1779	3.75258	0.259349	-0.200075	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.82589
166.665	30.1501	3.41088	0.339656	-0.0201338	166.748	29.7121	166.809	30.0721	2.63006	1.22694	2.57864
169.102	31.3708	3.39063	0.48523	0.0874173	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0467751
169.118	31.3794	3.25345	0.557227	0.21885	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.346145
172.134	32.3253	3.47995	0.172239	-0.177282	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.22009
172.12	32.3008	3.22375	0.124991	-0.222657	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.04082
174.646	33.4544	3.21323	0.480964	0.153866	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.408058
174.626	33.4588	3.05318	0.553123	0.276623	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.259098
177.037	34.2165	2.8247	0.314875	-0.0574727	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.515735
177.046	34.2127	2.75361	0.319028	-0.0296988	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.202478
180.076	35.1263	3.3153	0.165956	-0.111954	180.145	35.1423	179.799	35.1289	2.47883	0.732949	3.23565
179.974	35.1009	2.89333	0.160005	-0.130829	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.03368
182.582	35.7476	3.04585	0.267484	0.0228653	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.365391
182.493	35.7348	2.75741	0.296988	0.0733944	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.06634
184.723	36.5129	2.83674	0.353158	0.0620005	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.0701433
184.717	36.517	2.56379	0.410773	0.168945	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.590636
186.931	36.9419	2.62123	0.110571	-0.131476	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.347514
186.994	36.9511	2.6105	0.0795113	-0.160015	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.17884
189.442	37.3994	2.79774	0.227604	0.0387573	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.525703
189.468	37.4094	2.53386	0.263856	0.0808242	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.971262
191.723	37.5653	2.62835	-0.0041674	-0.141917	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.240973
191.694	37.5519	2.42938	-0.0613038	-0.236173	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.419745
193.484	37.2766	2.31681	-0.248245	-0.206733	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0870765
193.501	37.2801	2.32368	-0.246407	-0.211122	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0883762
195.919	37.3983	2.72489	0.257407	0.253343	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.25566
195.79	37.4199	2.30811	0.363258	0.399129	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	3.73136
197.721	37.7385	2.30094	0.22032	0.0515749	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.352037
197.672	37.7271	2.10397	0.215436	0.0526678	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.674572
199.303	37.301	1.97368	-0.360526	-0.344478	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.560853
199.315	37.3034	1.98343	-0.359661	-0.342242	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0344141
201.469	37.0064	2.46393	0.0292185	0.143334	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.72859
201.316	37.015	2.07008	-0.0877697	-0.0787961	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	4.24127
202.958	36.4612	2.13362	-0.377236	-0.210185	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0660576
202.91	36.4379	1.9758	-0.544527	-0.485568	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.720479
204.046	36.1379	1.17118	-0.546426	-0.213945	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	2.7682
204.075	36.1118	1.34827	-0.305065	0.274618	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	2.81676
